,Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
0,60376806,Night Train to the Stars,Kenji Miyazawa,"Miyazawa, Kenji",John Bester,"=""178487776X""","=""9781784877767""",0,3.85,Vintage Classics,Hardcover,230.0,2022,1934.0,,2023/04/26,to-read,to-read (#113),to-read,,,,0,0
1,58294567,The Language of Food,Annabel Abbs,"Abbs, Annabel",,"=""1398502227""","=""9781398502222""",0,3.92,Simon & Schuster UK,Hardcover,416.0,2022,2021.0,,2023/09/16,to-read,to-read (#182),to-read,,,,0,0
2,45047384,The House in the Cerulean Sea,T.J. Klune,"Klune, T.J.",,"=""""","=""""",4,4.42,Tor Books,Kindle Edition,394.0,2020,2020.0,,2023/07/28,,,read,,,,1,0
3,41104077,Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,"Pérez, Caroline Criado",,"=""1419729071""","=""9781419729072""",3,4.36,Abrams Press,Hardcover,318.0,2019,2019.0,,2023/08/22,,,read,,,,1,0
4,19288043,Gone Girl,Gillian Flynn,"Flynn, Gillian",,"=""""","=""""",0,4.12,Broadway Books,Paperback,456.0,2014,2012.0,,2023/09/13,to-read,to-read (#181),to-read,,,,0,0
5,1894390,Ute av verden,Karl Ove Knausgård,"Knausgård, Karl Ove",,"=""8210041932""","=""9788210041938""",0,3.63,Tiden,Unknown Binding,699.0,1998,1998.0,,2023/09/13,to-read,to-read (#180),to-read,,,,0,0
6,57361474,Local Woman Missing,Mary Kubica,"Kubica, Mary",,"=""077831166X""","=""9780778311669""",3,4.15,Harlequin,Paperback,378.0,2021,2021.0,,2023/09/08,,,read,,,,1,0
7,40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""1250301696""","=""9781250301697""",5,4.18,Celadon Books,Hardcover,336.0,2019,2019.0,,2023/07/28,,,read,,,,1,0
8,8686068,"The Devotion of Suspect X (Detective Galileo, #1)",Keigo Higashino,"Higashino, Keigo","Alexander O. Smith, Elye J. Alexander","=""0312375069""","=""9780312375065""",3,4.16,Minotaur Books,Hardcover,298.0,2011,2005.0,,2023/08/21,,,read,,,,1,0
9,29044,The Secret History,Donna Tartt,"Tartt, Donna",,"=""1400031702""","=""9781400031702""",2,4.18,Vintage,Paperback,559.0,1992,1992.0,,2023/06/16,did-not-finish,did-not-finish (#3),read,,,,1,0
10,21853621,The Nightingale,Kristin Hannah,"Hannah, Kristin",,"=""0312577222""","=""9780312577223""",5,4.61,St. Martin's Press,Hardcover,440.0,2015,2015.0,,2020/06/19,,,read,,,,1,0
11,62060421,The Girlfriend,K.L. Slater,"Slater, K.L.",,"=""1803147911""","=""9781803147918""",3,4.01,Bookouture,Kindle Edition,203.0,2022,2022.0,,2023/08/30,,,read,,,,1,0
12,123423832,The Coworker,Freida McFadden,"McFadden, Freida",,"=""172829620X""","=""9781728296203""",0,3.95,Poisoned Pen Press,Paperback,362.0,2023,2023.0,,2023/08/25,to-read,to-read (#179),to-read,,,,0,0
13,13079982,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",0,3.97,Simon & Schuster,Kindle Edition,194.0,2011,1953.0,,2023/08/25,to-read,to-read (#178),to-read,,,,0,0
14,24870673,De syv søstre,Lucinda Riley,"Riley, Lucinda",Benedicta Windt-Val,"=""""","=""9788202444969""",0,4.18,Cappelen Damm,Hardcover,540.0,2015,2014.0,,2023/02/21,"to-read, did-not-finish","to-read (#88), did-not-finish (#2)",to-read,,,,0,0
15,15811545,A Tale for the Time Being,Ruth Ozeki,"Ozeki, Ruth",,"=""0670026638""","=""9780670026630""",0,4.05,Viking,Hardcover,432.0,2013,2013.0,,2023/08/21,to-read,to-read (#177),to-read,,,,0,0
16,11275,The Wind-Up Bird Chronicle,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0965341984""","=""9780965341981""",0,4.15,Knopf,Paperback,607.0,1997,1994.0,,2023/08/21,to-read,to-read (#176),to-read,,,,0,0
17,59793324,Life Ceremony,Sayaka Murata,"Murata, Sayaka",Ginny Tapley Takemori,"=""0802159583""","=""9780802159588""",0,3.77,Grove Press,Hardcover,256.0,2022,2019.0,,2023/08/21,to-read,to-read (#175),to-read,,,,0,0
18,54633167,Lonely Castle in the Mirror,Mizuki Tsujimura,"Tsujimura, Mizuki",,"=""0857527274""","=""9780857527271""",0,4.29,Doubleday,Hardcover,355.0,2021,2017.0,,2023/08/21,to-read,to-read (#174),to-read,,,,0,0
19,150214397,"In Service of Death (DCI Logan Crime Thrillers, #17)",J.D. Kirk,"Kirk, J.D.",,"=""""","=""""",0,4.71,Zertex Crime,Kindle Edition,384.0,2023,2023.0,,2023/08/21,to-read,to-read (#173),to-read,,,,0,0
20,62080187,Never Lie,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,4.17,Hollywood Upstairs Press,Kindle Edition,286.0,2022,2022.0,,2023/08/21,to-read,to-read (#172),to-read,,,,0,0
21,43822820,"The Family Upstairs (The Family Upstairs, #1)",Lisa Jewell,"Jewell, Lisa",,"=""1501190105""","=""9781501190100""",4,3.97,Atria Books,Hardcover,340.0,2019,2019.0,,2023/07/01,,,read,,,,1,0
22,60879779,"Everyone in My Family Has Killed Someone (Ernest Cunningham, #1)",Benjamin   Stevenson,"Stevenson, Benjamin",,"=""0063279029""","=""9780063279025""",0,3.83,Mariner Books,Hardcover,371.0,2023,2022.0,,2023/08/20,to-read,to-read (#171),to-read,,,,0,0
23,61897971,The Quiet Tenant,Clémence Michallon,"Michallon, Clémence",,"=""0593534646""","=""9780593534649""",0,3.95,Knopf Publishing Group,Hardcover,303.0,2023,2023.0,,2023/08/20,to-read,to-read (#170),to-read,,,,0,0
24,62874245,The Drowning Woman,Robyn Harding,"Harding, Robyn",,"=""1538726769""","=""9781538726761""",0,4.1,Grand Central Publishing,Hardcover,336.0,2023,2023.0,,2023/08/19,to-read,to-read (#169),to-read,,,,0,0
